snapped_at;coin;price;market_cap;total_volume
2013-12-15 00:00:00 UTC;doge;6.995916786240586;43678406042.2315;0.0
2013-12-17 00:00:00 UTC;doge;2.631924943638995;19532418596.993126;0.0
2013-12-18 00:00:00 UTC;doge;2.5957770100773674;21250908354.423203;0.0
2013-12-19 00:00:00 UTC;doge;7.006934164190464;63409451289.251495;0.0
2013-12-20 00:00:00 UTC;doge;11.166157246138624;111404713063.31367;0.0
2013-12-21 00:00:00 UTC;doge;5.322829132116907;56964021589.18527;0.0
2013-12-22 00:00:00 UTC;doge;4.653263889658702;53290691477.80476;0.0
2013-12-23 00:00:00 UTC;doge;4.2706787024096196;52094240854.759735;0.0
2013-12-24 00:00:00 UTC;doge;8.869795948971;114829132063.82603;0.0
2013-12-25 00:00:00 UTC;doge;7.28317778781852;99617554433.36436;0.0
2013-12-26 00:00:00 UTC;doge;7.281983941352896;104768996893.68752;0.0
2013-12-27 00:00:00 UTC;doge;6.590386988970608;99342115973.81613;4950616383.822521
2013-12-28 00:00:00 UTC;doge;6.437722668296112;101776865289.98688;5779546682.369529
2013-12-29 00:00:00 UTC;doge;5.204309266546194;85922816410.30827;3996927121.307408
2013-12-30 00:00:00 UTC;doge;5.341747489371036;92109216603.48648;3976347148.33114
2013-12-31 00:00:00 UTC;doge;5.34983804710434;96295963791.79324;3752747429.498586
2014-01-01 00:00:00 UTC;doge;5.253567344337597;98669881465.13356;3752649297.445467
2014-01-02 00:00:00 UTC;doge;4.414350757341062;86084094600.46118;3577029970.465297
2014-01-03 00:00:00 UTC;doge;3.927562692564056;79460819670.06044;4090902535.473014
2014-01-04 00:00:00 UTC;doge;3.4493205755218663;72193560344.17737;3380448950.0538754
2014-01-05 00:00:00 UTC;doge;3.333106724843423;72286248058.0714;3265496724.6576757
2014-01-06 00:00:00 UTC;doge;3.0927345615838413;69296671962.33391;3216346696.311236
2014-01-07 00:00:00 UTC;doge;2.783033862412819;64356564331.41443;2624063355.2696137
2014-01-08 00:00:00 UTC;doge;2.6252939407374782;62519526297.07255;2044462855.738154
2014-01-09 00:00:00 UTC;doge;3.037577810669955;74568791551.65944;3799452586.9616475
2014-01-11 00:00:00 UTC;doge;4.73202440354115;119674551726.85092;7403632744.113648
2014-01-12 00:00:00 UTC;doge;4.107814635910875;106823797731.60014;11236827739.723701
2014-01-13 00:00:00 UTC;doge;4.0078157467113975;106960352365.6318;3460537125.045267
2014-01-14 00:00:00 UTC;doge;3.4895914829059222;95618579806.47185;4950937485.9003525
2014-01-15 00:00:00 UTC;doge;4.419943238064628;124336105078.8634;7691646207.909425
2014-01-16 00:00:00 UTC;doge;4.892725595623178;141390667971.33157;14534620757.511276
2014-01-17 00:00:00 UTC;doge;4.673435414438996;138352424173.77457;6022706536.3475485
2014-01-18 00:00:00 UTC;doge;5.263131848883456;159421577503.7733;8943959261.168299
2014-01-19 00:00:00 UTC;doge;7.369821335739691;229421623387.04175;37599942853.30206
2014-01-20 00:00:00 UTC;doge;9.265412257183366;295874072507.5304;49369888239.512794
2014-01-21 00:00:00 UTC;doge;22.331494344726025;729954535028.4648;192430754009.69095
2014-01-22 00:00:00 UTC;doge;21.774796869067956;730556431274.7039;101881672346.65211
2014-01-23 00:00:00 UTC;doge;18.939780664308287;648871038469.2799;65016568981.87074
2014-01-24 00:00:00 UTC;doge;21.26828695085018;743806998443.8204;69578044171.69484
2014-01-25 00:00:00 UTC;doge;23.103086709236003;824372968292.3613;53820744626.21446
2014-01-26 00:00:00 UTC;doge;22.12870872253257;805474594052.3567;37501178345.46193
2014-01-27 00:00:00 UTC;doge;18.5112708441942;688318009306.4929;49844583354.38293
2014-01-28 00:00:00 UTC;doge;17.080084357873513;647005771080.5624;29809483929.500107
2014-01-29 00:00:00 UTC;doge;17.239020272167473;665251205009.7579;20552717124.18987
