snapped_at;coin;price;market_cap;total_volume
01-07-20;doge;33.10875707098247;4145478531225.4307;1778012189913.7778
02-07-20;doge;33.61609410594268;4211109481150.8135;1473223278991.7354
03-07-20;doge;33.46342182939551;4189207171523.7925;912831307480.559
04-07-20;doge;33.50030991751459;4196400653932.4243;917606075093.6991
05-07-20;doge;33.57886626176071;4209477042205.854;967662730268.2098
06-07-20;doge;33.41612399581609;4185888171310.5327;1060138707968.4526
07-07-20;doge;37.73985715336054;4634036773162.694;1266297058657.3103
08-07-20;doge;44.07196761886029;5522728684323.981;3201225810923.592
09-07-20;doge;68.17366812488366;8540854103131.086;16674488751907.9
10-07-20;doge;62.72077247366597;7861375381558.456;6178953811597.075
11-07-20;doge;51.030688030160256;6424883526204.18;3991853788560.29
12-07-20;doge;54.668188874385415;6853589357141.926;2897575007521.6973
13-07-20;doge;52.45498804556164;6576854218735.0205;1865156196691.0457
14-07-20;doge;45.47624713193032;5656163436834.518;2577231913254.8467
15-07-20;doge;47.44132813824549;5949561720817.5;2031528307306.594
16-07-20;doge;45.048169013773574;5650064041491.892;1597907352625.7803
17-07-20;doge;43.57448619394787;5474509599690.196;1740731410729.788
18-07-20;doge;45.387433676391126;5688957152339.462;1785486828671.471
19-07-20;doge;51.74618218433829;6535489050875.552;3628694897877.61
20-07-20;doge;49.68972671764204;6234979256255.075;2691247717688.6543
21-07-20;doge;47.74070764488475;5991079313957.221;2336194781151.1304
22-07-20;doge;48.489878113358806;6085931321649.522;2205535125008.904
23-07-20;doge;48.029545281564836;6028577530990.629;1507465588089.8154
24-07-20;doge;48.14110455514693;6039907265428.861;1579847972634.5295
25-07-20;doge;47.077108593286404;5910150155648.849;1648795292409.8625
26-07-20;doge;47.61875927352786;5995332298714.951;1622876016097.3992
27-07-20;doge;47.124977062164525;5917455787291.555;1555361760422.5342
28-07-20;doge;45.27596443092362;5685895053281.797;1694792249304.472
29-07-20;doge;46.48857617575083;5856260868789.319;1481649065099.083
30-07-20;doge;45.92178272229962;5775711673504.813;1399954047087.5903
31-07-20;doge;47.010888408036806;5901787044240.565;1417889417532.8904
01-08-20;doge;47.09446354678718;5920896727823.469;1286186445127.257
02-08-20;doge;54.49163733165118;6865498436539.293;2788926369394.17
03-08-20;doge;48.839393684952064;6150405697101.568;1971865037794.4565
04-08-20;doge;49.340153495335976;6206336855806.924;1565296675544.6565
05-08-20;doge;51.442233372054325;6454583779372.426;1731311153722.7922
06-08-20;doge;50.84897914386168;6392283082278.434;1717502315283.8313
07-08-20;doge;51.86375393316517;6506608499000.9375;1546251392434.237
08-08-20;doge;51.2121904693966;6440141606419.093;2539607188957.865
09-08-20;doge;51.5120804415315;6474806741827.994;2567734185719.3047
10-08-20;doge;50.766965442505565;6384342416927.186;2302840989190.2563
11-08-20;doge;51.10744497305214;6425393357262.109;2426837913969.2583
12-08-20;doge;49.82824231089046;6268516453546.037;2446530425759.533
13-08-20;doge;51.104603892620915;6416950169377.721;2836283485389.512
14-08-20;doge;51.220672161112496;6423998239387.287;2754164121079.9067
15-08-20;doge;53.19010158616226;6692774289894.384;2515313997090.8247
16-08-20;doge;52.7458749276167;6637609530274.05;2078581289909.5454
